title,summary,authors,published,url,text
More on Wilson toroidal networks and torus blocks,"We consider the Wilson line networks of the Chern-Simons $3d$ gravity theory with toroidal boundary conditions which calculate global conformal blocks of degenerate quasi-primary operators in torus $2d$ CFT. After general discussion that summarizes and further extends results known in the literature we explicitly obtain the one-point torus block and two-point torus blocks through particular matrix elements of toroidal Wilson network operators in irreducible finite-dimensional representations of $sl(2,\mathbb{R})$ algebra. The resulting expressions are given in two alternative forms using different ways to treat multiple tensor products of $sl(2,\mathbb{R})$ representations: (1) $3mj$ Wigner symbols and intertwiners of higher valence, (2) totally symmetric tensor products of the fundamental $sl(2,\mathbb{R})$ representation.","K. B. Alkalaev, V. A. Belavin",2020-07-20,http://arxiv.org/abs/2007.10494v2,"More on Wilson toroidal networks and torus blocks. We consider the Wilson line networks of the Chern-Simons $3d$ gravity theory with toroidal boundary conditions which calculate global conformal blocks of degenerate quasi-primary operators in torus $2d$ CFT. After general discussion that summarizes and further extends results known in the literature we explicitly obtain the one-point torus block and two-point torus blocks through particular matrix elements of toroidal Wilson network operators in irreducible finite-dimensional representations of $sl(2,\mathbb{R})$ algebra. The resulting expressions are given in two alternative forms using different ways to treat multiple tensor products of $sl(2,\mathbb{R})$ representations: (1) $3mj$ Wigner symbols and intertwiners of higher valence, (2) totally symmetric tensor products of the fundamental $sl(2,\mathbb{R})$ representation."
Forwarding Tables Verification through Representative Header Sets,"Forwarding table verification consists in checking the distributed data-structure resulting from the forwarding tables of a network. A classical concern is the detection of loops. We study this problem in the context of software-defined networking (SDN) where forwarding rules can be arbitrary bitmasks (generalizing prefix matching) and where tables are updated by a centralized controller. Basic verification problems such as loop detection are NP-hard and most previous work solves them with heuristics or SAT solvers. We follow a different approach based on computing a representation of the header classes, i.e. the sets of headers that match the same rules. This representation consists in a collection of representative header sets, at least one for each class, and can be computed centrally in time which is polynomial in the number of classes. Classical verification tasks can then be trivially solved by checking each representative header set. In general, the number of header classes can increase exponentially with header length, but it remains polynomial in the number of rules in the practical case where rules are constituted with predefined fields where exact, prefix matching or range matching is applied in each field (e.g., IP/MAC addresses, TCP/UDP ports). We propose general techniques that work in polynomial time as long as the number of classes of headers is polynomial and that do not make specific assumptions about the structure of the sets associated to rules. The efficiency of our method rely on the fact that the data-structure representing rules allows efficient computation of intersection, cardinal and inclusion. Finally, we propose an algorithm to maintain such representation in presence of updates (i.e., rule insert/update/removal). We also provide a local distributed algorithm for checking the absence of black-holes and a proof labeling scheme for locally checking the absence of loops.","Yacine Boufkhad, Ricardo De La Paz, Leonardo Linguaglossa, Fabien Mathieu, Diego Perino, Laurent Viennot",2016-01-26,http://arxiv.org/abs/1601.07002v1,"Forwarding Tables Verification through Representative Header Sets. Forwarding table verification consists in checking the distributed data-structure resulting from the forwarding tables of a network. A classical concern is the detection of loops. We study this problem in the context of software-defined networking (SDN) where forwarding rules can be arbitrary bitmasks (generalizing prefix matching) and where tables are updated by a centralized controller. Basic verification problems such as loop detection are NP-hard and most previous work solves them with heuristics or SAT solvers. We follow a different approach based on computing a representation of the header classes, i.e. the sets of headers that match the same rules. This representation consists in a collection of representative header sets, at least one for each class, and can be computed centrally in time which is polynomial in the number of classes. Classical verification tasks can then be trivially solved by checking each representative header set. In general, the number of header classes can increase exponentially with header length, but it remains polynomial in the number of rules in the practical case where rules are constituted with predefined fields where exact, prefix matching or range matching is applied in each field (e.g., IP/MAC addresses, TCP/UDP ports). We propose general techniques that work in polynomial time as long as the number of classes of headers is polynomial and that do not make specific assumptions about the structure of the sets associated to rules. The efficiency of our method rely on the fact that the data-structure representing rules allows efficient computation of intersection, cardinal and inclusion. Finally, we propose an algorithm to maintain such representation in presence of updates (i.e., rule insert/update/removal). We also provide a local distributed algorithm for checking the absence of black-holes and a proof labeling scheme for locally checking the absence of loops."
Dihedral blocks with two simple modules,"Let $k$ be an algebraically closed field of characteristic 2, and let $G$ be a finite group. Suppose $B$ is a block of $kG$ with dihedral defect groups such that there are precisely two isomorphism classes of simple $B$-modules. The description by Erdmann of the quiver and relations of the basic algebra of $B$ is usually only given up to a certain parameter $c$ which is either 0 or 1. In this article, we show that $c=0$ if there exists a central extension $\hat{G}$ of $G$ by a group of order 2 together with a block $\hat{B}$ of $k\hat{G}$ with generalized quaternion defect groups such that $B$ is contained in the image of $\hat{B}$ under the natural surjection from $k\hat{G}$ onto $kG$. As a special case, we obtain that $c=0$ if $G=\mathrm{PGL}_2(\mathbb{F}_q)$ for some odd prime power $q$ and $B$ is the principal block of $k \mathrm{PGL}_2(\mathbb{F}_q)$.",Frauke M. Bleher,2009-12-05,http://arxiv.org/abs/0912.0987v2,"Dihedral blocks with two simple modules. Let $k$ be an algebraically closed field of characteristic 2, and let $G$ be a finite group. Suppose $B$ is a block of $kG$ with dihedral defect groups such that there are precisely two isomorphism classes of simple $B$-modules. The description by Erdmann of the quiver and relations of the basic algebra of $B$ is usually only given up to a certain parameter $c$ which is either 0 or 1. In this article, we show that $c=0$ if there exists a central extension $\hat{G}$ of $G$ by a group of order 2 together with a block $\hat{B}$ of $k\hat{G}$ with generalized quaternion defect groups such that $B$ is contained in the image of $\hat{B}$ under the natural surjection from $k\hat{G}$ onto $kG$. As a special case, we obtain that $c=0$ if $G=\mathrm{PGL}_2(\mathbb{F}_q)$ for some odd prime power $q$ and $B$ is the principal block of $k \mathrm{PGL}_2(\mathbb{F}_q)$."
Blocks and families for cyclotomic Hecke algebras,"The families of characters, defined by Lusztig for Weyl groups, play an important role in the representation theory of finite reductive groups. The definition of Rouquier for the families of characters in terms of blocks of the Hecke algebra has made possible the generalization of this notion to the case of complex reflection groups. In this article, we study the Rouquier blocks of the cyclotomic Hecke algebras and we show that they depend on numerical data determined by the generic Hecke algebra. Moreover, we provide the algorithm and the results of their determination for all exceptional complex reflection groups.",Maria Chlouveraki,2008-07-09,http://arxiv.org/abs/0807.1476v3,"Blocks and families for cyclotomic Hecke algebras. The families of characters, defined by Lusztig for Weyl groups, play an important role in the representation theory of finite reductive groups. The definition of Rouquier for the families of characters in terms of blocks of the Hecke algebra has made possible the generalization of this notion to the case of complex reflection groups. In this article, we study the Rouquier blocks of the cyclotomic Hecke algebras and we show that they depend on numerical data determined by the generic Hecke algebra. Moreover, we provide the algorithm and the results of their determination for all exceptional complex reflection groups."
COBOL to Java and Newspapers Still Get Delivered,"This paper is an experience report on migrating an American newspaper company's business-critical IBM mainframe application to Linux servers by automatically translating the application's source code from COBOL to Java and converting the mainframe data store from VSAM KSDS files to an Oracle relational database. The mainframe application had supported daily home delivery of the newspaper since 1979. It was in need of modernization in order to increase interoperability and enable future convergence with newer enterprise systems as well as to reduce operating costs. Testing the modernized application proved to be the most vexing area of work. This paper explains the process that was employed to test functional equivalence between the legacy and modernized applications, the main testing challenges, and lessons learned after having operated and maintained the modernized application in production over the last eight months. The goal of delivering a functionally equivalent system was achieved, but problems remained to be solved related to new feature development, business domain knowledge transfer, and recruiting new software engineers to work on the modernized application.","Alessandro De Marco, Valentin Iancu, Ira Asinofsky",2018-08-10,http://arxiv.org/abs/1808.03724v1,"COBOL to Java and Newspapers Still Get Delivered. This paper is an experience report on migrating an American newspaper company's business-critical IBM mainframe application to Linux servers by automatically translating the application's source code from COBOL to Java and converting the mainframe data store from VSAM KSDS files to an Oracle relational database. The mainframe application had supported daily home delivery of the newspaper since 1979. It was in need of modernization in order to increase interoperability and enable future convergence with newer enterprise systems as well as to reduce operating costs. Testing the modernized application proved to be the most vexing area of work. This paper explains the process that was employed to test functional equivalence between the legacy and modernized applications, the main testing challenges, and lessons learned after having operated and maintained the modernized application in production over the last eight months. The goal of delivering a functionally equivalent system was achieved, but problems remained to be solved related to new feature development, business domain knowledge transfer, and recruiting new software engineers to work on the modernized application."
The action of outer automorphisms on bundles of chiral blocks,"On the bundles of WZW chiral blocks over the moduli space of a punctured rational curve we construct isomorphisms that implement the action of outer automorphisms of the underlying affine Lie algebra. These bundle-isomorphisms respect the Knizhnik-Zamolodchikov connection and have finite order. When all primary fields are fixed points, the isomorphisms are endomorphisms; in this case, the bundle of chiral blocks is typically a reducible vector bundle. A conjecture for the trace of such endomorphisms is presented; the proposed relation generalizes the Verlinde formula. Our results have applications to conformal field theories based on non-simply connected groups and to the classification of boundary conditions in such theories.","J. Fuchs, C. Schweigert",1998-05-05,http://arxiv.org/abs/hep-th/9805026v3,"The action of outer automorphisms on bundles of chiral blocks. On the bundles of WZW chiral blocks over the moduli space of a punctured rational curve we construct isomorphisms that implement the action of outer automorphisms of the underlying affine Lie algebra. These bundle-isomorphisms respect the Knizhnik-Zamolodchikov connection and have finite order. When all primary fields are fixed points, the isomorphisms are endomorphisms; in this case, the bundle of chiral blocks is typically a reducible vector bundle. A conjecture for the trace of such endomorphisms is presented; the proposed relation generalizes the Verlinde formula. Our results have applications to conformal field theories based on non-simply connected groups and to the classification of boundary conditions in such theories."
Warp2: A Method of Email and Messaging with Encrypted Addressing and Headers,"Secure communications are playing increasing roles in society, particularly in finance, journalism, and military projects. Current methods of securing e-mail and similar messaging methods rely on encryption of the message body, but the header with addressing information remains plaintext. This allows third party eavesdroppers to collect and analyse the header metadata and construct a network model of the participants in conversations (who, where, when, subject). In this article, we describe a method of communication where the header is also encrypted, hindering the assembly of the communication network models, which is verified with a working prototype application. This provides a useful tool to journalists and proponents of free speech in oppressed countries, protecting both the messages and their sources.","H. Bjorgvinsdottir, P. M. Bentley",2014-11-24,http://arxiv.org/abs/1411.6409v1,"Warp2: A Method of Email and Messaging with Encrypted Addressing and Headers. Secure communications are playing increasing roles in society, particularly in finance, journalism, and military projects. Current methods of securing e-mail and similar messaging methods rely on encryption of the message body, but the header with addressing information remains plaintext. This allows third party eavesdroppers to collect and analyse the header metadata and construct a network model of the participants in conversations (who, where, when, subject). In this article, we describe a method of communication where the header is also encrypted, hindering the assembly of the communication network models, which is verified with a working prototype application. This provides a useful tool to journalists and proponents of free speech in oppressed countries, protecting both the messages and their sources."
The TSN Building Blocks in Linux,"Various application areas e.g. industrial automation, professional audio-video, automotive in-vehicle, aerospace on-board, and mobile fronthaul networks require deterministic communication: loss-less forwarding with bounded maximum latency. There is a lot of ongoing standardization activity in different organizations to provide vendor-agnostic building blocks for Time-Sensitive Networking (TSN), what is aimed as the universal solution for deterministic forwarding in OSI Layer-2 networks. Furthermore, the implementation of those standards is also happening in Linux. Some of them require software changes only, but others have hardware support requirements. In this paper, we give an overview of the implementation of the main TSN standards in the mainline Linux kernel. Furthermore, we provide measurement results on key functionality in support of TSN, e.g., scheduled transmission and Linux bridging characteristics.","Ferenc Fejes, Péter Antal, Márton Kerekes",2022-11-25,http://arxiv.org/abs/2211.14138v1,"The TSN Building Blocks in Linux. Various application areas e.g. industrial automation, professional audio-video, automotive in-vehicle, aerospace on-board, and mobile fronthaul networks require deterministic communication: loss-less forwarding with bounded maximum latency. There is a lot of ongoing standardization activity in different organizations to provide vendor-agnostic building blocks for Time-Sensitive Networking (TSN), what is aimed as the universal solution for deterministic forwarding in OSI Layer-2 networks. Furthermore, the implementation of those standards is also happening in Linux. Some of them require software changes only, but others have hardware support requirements. In this paper, we give an overview of the implementation of the main TSN standards in the mainline Linux kernel. Furthermore, we provide measurement results on key functionality in support of TSN, e.g., scheduled transmission and Linux bridging characteristics."
Exploiting pre-optimized kernels with polyhedral transformations for CGRA compilation,"Modern computing workloads commonly involve matrix-matrix multiplication (mmul) as a core computing pattern. Coarse-Grained Reconfigurable Arrays (CGRAs) can flexibly and efficiently support it, since they combine operation-level reconfigurability and high energy efficiency. However, mapping computational kernels that include mmul with state-of-the-art compilation strategies often leads to suboptimal results, since its multi-dimensional structure hampers the uncovering of its inherent parallelism and, ultimately, runtime performance. Here, we take a different position: we introduce a specialized mmul CGRA kernel schedule, parametrizable across different CGRA sizes. Then, we describe a novel compilation methodology that adapts program representations to effectively leverage it, employing polyhedral transformations to analyze complex computational patterns and expose hidden mmul operations through loop reordering and splitting. The identified patterns are then substituted with optimized assembly, while the remaining program sections are compiled independently. CGRA configurations are then generated, encompassing pre-compiled and compiled parts. Our strategy maximizes resource utilization and ultimately run-time performance, even when mmul is not directly apparent in the source code. The experimental results show speedups up to 9.1x across different benchmarks that contain hidden mmuls and CGRA instances of various sizes.","Yuxuan Wang, María José Belda, Fernando Castro, Katzalin Olcoz, David Atienza, Giovanni Ansaloni",2026-04-24,http://arxiv.org/abs/2604.22297v2,"Exploiting pre-optimized kernels with polyhedral transformations for CGRA compilation. Modern computing workloads commonly involve matrix-matrix multiplication (mmul) as a core computing pattern. Coarse-Grained Reconfigurable Arrays (CGRAs) can flexibly and efficiently support it, since they combine operation-level reconfigurability and high energy efficiency. However, mapping computational kernels that include mmul with state-of-the-art compilation strategies often leads to suboptimal results, since its multi-dimensional structure hampers the uncovering of its inherent parallelism and, ultimately, runtime performance. Here, we take a different position: we introduce a specialized mmul CGRA kernel schedule, parametrizable across different CGRA sizes. Then, we describe a novel compilation methodology that adapts program representations to effectively leverage it, employing polyhedral transformations to analyze complex computational patterns and expose hidden mmul operations through loop reordering and splitting. The identified patterns are then substituted with optimized assembly, while the remaining program sections are compiled independently. CGRA configurations are then generated, encompassing pre-compiled and compiled parts. Our strategy maximizes resource utilization and ultimately run-time performance, even when mmul is not directly apparent in the source code. The experimental results show speedups up to 9.1x across different benchmarks that contain hidden mmuls and CGRA instances of various sizes."
On the Virasoro six-point identity block and chaos,"We study six-point correlation functions in two dimensional conformal field theory, where the six operators are grouped in pairs with equal conformal dimension. Assuming large central charge $c$ and a sparse spectrum, the leading contribution to this correlation function is the six-point Virasoro identity block - corresponding to each distinct pair of operators fusing into the identity and its descendants. We call this the star channel. One particular term in the star channel identity block is the stress tensor $SL(2,\mathbb{R})$ (global) block, for which we derive an explicit expression. In the holographic context, this object corresponds to a direct measure of nonlinear effects in pure gravity. We calculate additional terms in the star channel identity block that contribute at the same order at large $c$ as the global block using the novel theory of reparametrizations, which extends the shadow operator formalism in a natural way. We investigate these blocks' relevance to quantum chaos in the form of six-point scrambling in an out-of time ordered correlator. Interestingly, the global block does not contribute to the scrambling mode of this correlator, implying that, to leading order, six-point scrambling is insensitive to the three-point graviton coupling in the bulk dual. Finally, we compare our findings with a different OPE channel, called the comb channel, and find the same result for the chaos exponent in this decomposition.","Tarek Anous, Felix M. Haehl",2020-05-13,http://arxiv.org/abs/2005.06440v3,"On the Virasoro six-point identity block and chaos. We study six-point correlation functions in two dimensional conformal field theory, where the six operators are grouped in pairs with equal conformal dimension. Assuming large central charge $c$ and a sparse spectrum, the leading contribution to this correlation function is the six-point Virasoro identity block - corresponding to each distinct pair of operators fusing into the identity and its descendants. We call this the star channel. One particular term in the star channel identity block is the stress tensor $SL(2,\mathbb{R})$ (global) block, for which we derive an explicit expression. In the holographic context, this object corresponds to a direct measure of nonlinear effects in pure gravity. We calculate additional terms in the star channel identity block that contribute at the same order at large $c$ as the global block using the novel theory of reparametrizations, which extends the shadow operator formalism in a natural way. We investigate these blocks' relevance to quantum chaos in the form of six-point scrambling in an out-of time ordered correlator. Interestingly, the global block does not contribute to the scrambling mode of this correlator, implying that, to leading order, six-point scrambling is insensitive to the three-point graviton coupling in the bulk dual. Finally, we compare our findings with a different OPE channel, called the comb channel, and find the same result for the chaos exponent in this decomposition."
Estimating WebRTC Video QoE Metrics Without Using Application Headers,"The increased use of video conferencing applications (VCAs) has made it critical to understand and support end-user quality of experience (QoE) by all stakeholders in the VCA ecosystem, especially network operators, who typically do not have direct access to client software. Existing VCA QoE estimation methods use passive measurements of application-level Real-time Transport Protocol (RTP) headers. However, a network operator does not always have access to RTP headers in all cases, particularly when VCAs use custom RTP protocols (e.g., Zoom) or due to system constraints (e.g., legacy measurement systems). Given this challenge, this paper considers the use of more standard features in the network traffic, namely, IP and UDP headers, to provide per-second estimates of key VCA QoE metrics such as frames rate and video resolution. We develop a method that uses machine learning with a combination of flow statistics (e.g., throughput) and features derived based on the mechanisms used by the VCAs to fragment video frames into packets. We evaluate our method for three prevalent VCAs running over WebRTC: Google Meet, Microsoft Teams, and Cisco Webex. Our evaluation consists of 54,696 seconds of VCA data collected from both (1), controlled in-lab network conditions, and (2) real-world networks from 15 households. We show that the ML-based approach yields similar accuracy compared to the RTP-based methods, despite using only IP/UDP data. For instance, we can estimate FPS within 2 FPS for up to 83.05% of one-second intervals in the real-world data, which is only 1.76% lower than using the application-level RTP headers.","Taveesh Sharma, Tarun Mangla, Arpit Gupta, Junchen Jiang, Nick Feamster",2023-06-01,http://arxiv.org/abs/2306.01194v5,"Estimating WebRTC Video QoE Metrics Without Using Application Headers. The increased use of video conferencing applications (VCAs) has made it critical to understand and support end-user quality of experience (QoE) by all stakeholders in the VCA ecosystem, especially network operators, who typically do not have direct access to client software. Existing VCA QoE estimation methods use passive measurements of application-level Real-time Transport Protocol (RTP) headers. However, a network operator does not always have access to RTP headers in all cases, particularly when VCAs use custom RTP protocols (e.g., Zoom) or due to system constraints (e.g., legacy measurement systems). Given this challenge, this paper considers the use of more standard features in the network traffic, namely, IP and UDP headers, to provide per-second estimates of key VCA QoE metrics such as frames rate and video resolution. We develop a method that uses machine learning with a combination of flow statistics (e.g., throughput) and features derived based on the mechanisms used by the VCAs to fragment video frames into packets. We evaluate our method for three prevalent VCAs running over WebRTC: Google Meet, Microsoft Teams, and Cisco Webex. Our evaluation consists of 54,696 seconds of VCA data collected from both (1), controlled in-lab network conditions, and (2) real-world networks from 15 households. We show that the ML-based approach yields similar accuracy compared to the RTP-based methods, despite using only IP/UDP data. For instance, we can estimate FPS within 2 FPS for up to 83.05% of one-second intervals in the real-world data, which is only 1.76% lower than using the application-level RTP headers."
"Nonvanishing of conformal blocks divisors on $\bar{M}_{0,n}$","We introduce and study the problem of finding necessary and sufficient conditions under which a conformal blocks divisor on $\bar{M}_{0,n}$ is nonzero. We give necessary conditions in type A, which are sufficient when theta and critical levels coincide. We show that divisors are subject to additive identities, dependent on ranks of the underlying bundle. These identities amplify vanishing and nonvanishing results and have other applications.","Prakash Belkale, Angela Gibney, Swarnava Mukhopadhyay",2014-10-08,http://arxiv.org/abs/1410.2459v2,"Nonvanishing of conformal blocks divisors on $\bar{M}_{0,n}$. We introduce and study the problem of finding necessary and sufficient conditions under which a conformal blocks divisor on $\bar{M}_{0,n}$ is nonzero. We give necessary conditions in type A, which are sufficient when theta and critical levels coincide. We show that divisors are subject to additive identities, dependent on ranks of the underlying bundle. These identities amplify vanishing and nonvanishing results and have other applications."
LSCHC: Layered Static Context Header Compression for LPWANs,"Supporting IPv6/UDP/CoAP protocols over Low Power Wide Area Networks (LPWANs) can bring open networking, interconnection, and cooperation to this new type of Internet of Things networks. However, accommodating these protocols over these very low bandwidth networks requires efficient header compression schemes to meet the limited frame size of these networks, where only one or two octets are available to transmit all headers. Recently, the Internet Engineering Task Force (IETF) LPWAN working group drafted the Static Context Header Compression (SCHC), a new header compression scheme for LPWANs, which can provide a good compression factor without complex synchronization. In this paper, we present an implementation and evaluation of SCHC. We compare SCHC with IPHC, which also targets constrained networks. Additionally, we propose an enhancement of SCHC, Layered SCHC (LSCHC). LSCHC is a layered context that reduces memory consumption and processing complexity, and adds flexibility when compressing packets. Finally, we perform calculations to show the impact of SCHC/LSCHC on an example LPWAN technology, e.g. LoRaWAN, from the point of view of transmission time and reliability.","Khaled Q. Abdelfadeel, Victor Cionca, Dirk Pesch",2017-08-17,http://arxiv.org/abs/1708.05209v1,"LSCHC: Layered Static Context Header Compression for LPWANs. Supporting IPv6/UDP/CoAP protocols over Low Power Wide Area Networks (LPWANs) can bring open networking, interconnection, and cooperation to this new type of Internet of Things networks. However, accommodating these protocols over these very low bandwidth networks requires efficient header compression schemes to meet the limited frame size of these networks, where only one or two octets are available to transmit all headers. Recently, the Internet Engineering Task Force (IETF) LPWAN working group drafted the Static Context Header Compression (SCHC), a new header compression scheme for LPWANs, which can provide a good compression factor without complex synchronization. In this paper, we present an implementation and evaluation of SCHC. We compare SCHC with IPHC, which also targets constrained networks. Additionally, we propose an enhancement of SCHC, Layered SCHC (LSCHC). LSCHC is a layered context that reduces memory consumption and processing complexity, and adds flexibility when compressing packets. Finally, we perform calculations to show the impact of SCHC/LSCHC on an example LPWAN technology, e.g. LoRaWAN, from the point of view of transmission time and reliability."
Torus conformal blocks and Casimir equations in the necklace channel,"We consider the conformal block decomposition in arbitrary exchange channels of a two-dimensional conformal field theory on a torus. The channels are described by diagrams built of a closed loop with external legs (a necklace sub-diagram) and trivalent vertices forming trivalent trees attached to the necklace. Then, the $n$-point torus conformal block in any channel can be obtained by acting with a number of OPE operators on the $k$-point torus block in the necklace channel at $k=1,...,n$. Focusing on the necklace channel, we go to the large-$c$ regime, where the Virasoro algebra truncates to the $sl(2, \mathbb{R})$ subalgebra, and obtain the system of the Casimir equations for the respective $k$-point global conformal block. In the plane limit, when the torus modular parameter $q\to 0$, we explicitly find the Casimir equations on a plane which define the $(k+2)$-point global conformal block in the comb channel. Finally, we formulate the general scheme to find Casimir equations for global torus blocks in arbitrary channels.","K. B. Alkalaev, Semyon Mandrygin, Mikhail Pavlov",2022-05-10,http://arxiv.org/abs/2205.05038v3,"Torus conformal blocks and Casimir equations in the necklace channel. We consider the conformal block decomposition in arbitrary exchange channels of a two-dimensional conformal field theory on a torus. The channels are described by diagrams built of a closed loop with external legs (a necklace sub-diagram) and trivalent vertices forming trivalent trees attached to the necklace. Then, the $n$-point torus conformal block in any channel can be obtained by acting with a number of OPE operators on the $k$-point torus block in the necklace channel at $k=1,...,n$. Focusing on the necklace channel, we go to the large-$c$ regime, where the Virasoro algebra truncates to the $sl(2, \mathbb{R})$ subalgebra, and obtain the system of the Casimir equations for the respective $k$-point global conformal block. In the plane limit, when the torus modular parameter $q\to 0$, we explicitly find the Casimir equations on a plane which define the $(k+2)$-point global conformal block in the comb channel. Finally, we formulate the general scheme to find Casimir equations for global torus blocks in arbitrary channels."
Reducing the Compilation Time of Quantum Circuits Using Pre-Compilation on the Gate Level,"In order to implement a quantum computing application, problem instances must be encoded into a quantum circuit and then compiled for a specific platform. The lengthy compilation process is a key bottleneck in this workflow, especially for problems that arise repeatedly with a similar yet distinct structure (each of which requires a new compilation run thus far). In this paper, we aim to overcome this bottleneck by proposing a comprehensive pre-compilation technique that tries to minimize the time spent for compiling recurring problems while preserving the solution quality as much as possible. The following concepts underpin the proposed approach: Beginning with a problem class and a corresponding quantum algorithm, a predictive encoding scheme is applied to encode a representative problem instance into a general-purpose quantum circuit for that problem class. Once the real problem instance is known, the previously constructed circuit only needs to be adjusted -- with (nearly) no compilation necessary. Experimental evaluations on QAOA for the MaxCut problem as well as a case study involving a satellite mission planning problem show that the proposed approach significantly reduces the compilation time by several orders of magnitude compared to Qiskit's compilation schemes while maintaining comparable compiled circuit quality. All implementations are available on GitHub (https://github.com/cda-tum/mqt-problemsolver) as part of the Munich Quantum Toolkit (MQT).","Nils Quetschlich, Lukas Burgholzer, Robert Wille",2023-05-08,http://arxiv.org/abs/2305.04941v2,"Reducing the Compilation Time of Quantum Circuits Using Pre-Compilation on the Gate Level. In order to implement a quantum computing application, problem instances must be encoded into a quantum circuit and then compiled for a specific platform. The lengthy compilation process is a key bottleneck in this workflow, especially for problems that arise repeatedly with a similar yet distinct structure (each of which requires a new compilation run thus far). In this paper, we aim to overcome this bottleneck by proposing a comprehensive pre-compilation technique that tries to minimize the time spent for compiling recurring problems while preserving the solution quality as much as possible. The following concepts underpin the proposed approach: Beginning with a problem class and a corresponding quantum algorithm, a predictive encoding scheme is applied to encode a representative problem instance into a general-purpose quantum circuit for that problem class. Once the real problem instance is known, the previously constructed circuit only needs to be adjusted -- with (nearly) no compilation necessary. Experimental evaluations on QAOA for the MaxCut problem as well as a case study involving a satellite mission planning problem show that the proposed approach significantly reduces the compilation time by several orders of magnitude compared to Qiskit's compilation schemes while maintaining comparable compiled circuit quality. All implementations are available on GitHub (https://github.com/cda-tum/mqt-problemsolver) as part of the Munich Quantum Toolkit (MQT)."
A Novel Header Matching Algorithm for Intrusion Detection Systems,"The evolving necessity of the Internet increases the demand on the bandwidth. Therefore, this demand opens the doors for the hackers' community to develop new methods and techniques to gain control over networking systems. Hence, the intrusion detection systems (IDS) are insufficient to prevent/detect unauthorized access the network. Network Intrusion Detection System (NIDS) is one example that still suffers from performance degradation due the increase of the link speed in today's networks. In This paper we proposed a novel algorithm to detect the intruders, who's trying to gain access to the network using the packets header parameters such as; source/destination address, source/destination port, and protocol without the need to inspect each packet content looking for signatures/patterns. However, the ""Packet Header Matching"" algorithm enhances the overall speed of the matching process between the incoming packet headers against the rule set. We ran the proposed algorithm to proof the proposed concept in coping with the traffic arrival speeds and the various bandwidth demands. The achieved results were of significant enhancement of the overall performance in terms of detection speed.","Mohammad A. Alia, Adnan A. Hnaif, Hayam K. Al-Anie, Khulood Abu Maria, Ahmed M. Manasrah, M. Imran Sarwar",2011-08-05,http://arxiv.org/abs/1108.1417v1,"A Novel Header Matching Algorithm for Intrusion Detection Systems. The evolving necessity of the Internet increases the demand on the bandwidth. Therefore, this demand opens the doors for the hackers' community to develop new methods and techniques to gain control over networking systems. Hence, the intrusion detection systems (IDS) are insufficient to prevent/detect unauthorized access the network. Network Intrusion Detection System (NIDS) is one example that still suffers from performance degradation due the increase of the link speed in today's networks. In This paper we proposed a novel algorithm to detect the intruders, who's trying to gain access to the network using the packets header parameters such as; source/destination address, source/destination port, and protocol without the need to inspect each packet content looking for signatures/patterns. However, the ""Packet Header Matching"" algorithm enhances the overall speed of the matching process between the incoming packet headers against the rule set. We ran the proposed algorithm to proof the proposed concept in coping with the traffic arrival speeds and the various bandwidth demands. The achieved results were of significant enhancement of the overall performance in terms of detection speed."
The Paradox of Function Header Comments,"Perhaps the most widely used form of code documentation is function header comments. We performed a large-scale survey of 367 developers to catalog their expectations from such documentation and to chronicle actual practice. Paradoxically, we found that developers appreciate the value of header comments and estimate that they are worth the investment in time, but nevertheless they tend not to write such documentation in their own code. Reasons for not writing header comments vary from the belief that code should be self-documenting to concern that documentation will not be kept up-to-date. A possible outcome of this situation is that developers may evade requirements to write documentation by using templates to generate worthless comments that do not provide any real information. We define a simple metric for information-less documentation based on its similarity to the function signature. Applying this to 21,140 files in GitHub Python projects shows that most functions are undocumented, but when header comments are written they typically do contain additional information beyond the function signature.","Arthur Oxenhorn, Almog Mor, Uri Stern, Dror G. Feitelson",2024-01-15,http://arxiv.org/abs/2401.07704v1,"The Paradox of Function Header Comments. Perhaps the most widely used form of code documentation is function header comments. We performed a large-scale survey of 367 developers to catalog their expectations from such documentation and to chronicle actual practice. Paradoxically, we found that developers appreciate the value of header comments and estimate that they are worth the investment in time, but nevertheless they tend not to write such documentation in their own code. Reasons for not writing header comments vary from the belief that code should be self-documenting to concern that documentation will not be kept up-to-date. A possible outcome of this situation is that developers may evade requirements to write documentation by using templates to generate worthless comments that do not provide any real information. We define a simple metric for information-less documentation based on its similarity to the function signature. Applying this to 21,140 files in GitHub Python projects shows that most functions are undocumented, but when header comments are written they typically do contain additional information beyond the function signature."
